post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47762864,Backblaze has stopped backing up your data,technology,427,274,rrreese,2026-04-14 16:10:32,0.6401869158878505,True
47764164,The Case Against Gameplay Loops,technology,22,12,coinfused,2026-04-14 16:10:37,0.5217391304347826,False
47765458,Two Months After I Gave an AI $100 and No Instructions,technology,53,46,gleipnircode,2026-04-14 16:10:38,0.8518518518518519,False
47724408,The Great Majority: Body Snatching and Burial Reform in 19th-Century Britain,technology,13,1,apollinaire,2026-04-14 16:10:39,0.07142857142857142,False
47761625,Multi-Agentic Software Development Is a Distributed Systems Problem,technology,66,28,tie-in,2026-04-14 16:10:39,0.417910447761194,False
47761723,MOS tech 6502 8-bit microprocessor in pure SQL powered by Postgres,technology,46,5,adunk,2026-04-14 16:10:41,0.10638297872340426,False
47728970,"Write less code, be more responsible",technology,129,75,orhunp_,2026-04-14 16:10:43,0.5769230769230769,False
47758347,N-Day-Bench – Can LLMs find real vulnerabilities in real codebases?,technology,86,27,mufeedvh,2026-04-14 16:10:45,0.3103448275862069,False
47708457,Rust Threads on the GPU,technology,99,29,PaulHoule,2026-04-14 16:10:45,0.29,False
47753689,Building a CLI for all of Cloudflare,technology,317,103,soheilpro,2026-04-14 16:10:47,0.3238993710691824,True
47729046,Air Powered Segment Display? [video],technology,118,11,ProfDreamer,2026-04-14 16:10:48,0.09243697478991597,False
47756772,GAIA – Open-source framework for building AI agents that run on local hardware,technology,133,32,galaxyLogic,2026-04-14 16:10:50,0.23880597014925373,False
47750872,Servo is now available on crates.io,technology,459,147,ffin,2026-04-14 16:10:54,0.31956521739130433,True
47755209,B-trees and database indexes (2024),technology,109,41,tosh,2026-04-14 16:10:54,0.37272727272727274,False
47752466,MEMS Array Chip Can Project Video the Size of a Grain of Sand,technology,86,42,bookofjoe,2026-04-14 16:10:55,0.4827586206896552,False
47751621,Initial mainline video capture and camera support for Rockchip RK3588,technology,86,25,mfilion,2026-04-14 16:10:55,0.28735632183908044,False
47759292,The AI revolution in math has arrived,technology,90,48,sonabinu,2026-04-14 16:11:01,0.5274725274725275,False
47744255,I ran Gemma 4 as a local model in Codex CLI,technology,265,109,dvaughan,2026-04-14 16:11:01,0.40977443609022557,True
47733217,Exploiting the most prominent AI agent benchmarks,technology,579,140,Anon84,2026-04-14 16:11:04,0.2413793103448276,True
47761371,Bear Roll – Daily roll of Bear Blog's top posts,technology,7,0,freediver,2026-04-14 16:11:04,0.0,False
47750821,Michigan 'digital age' bills pulled after privacy concerns raised,technology,217,125,iamnothere,2026-04-14 16:11:07,0.573394495412844,True
47754179,Claude Code may be burning your limits with invisible tokens,technology,45,6,jenic_,2026-04-14 16:11:09,0.13043478260869565,False
47748064,The economics of software teams: Why most engineering orgs are flying blind,technology,402,277,kiyanwang,2026-04-14 16:11:11,0.6873449131513648,True
47761892,"Show HN: Pushduck – S3 uploads that run on Cloudflare Workers, no AWS SDK",technology,8,4,abhay_ramesh,2026-04-14 16:11:11,0.4444444444444444,False
47761720,"Microsoft exec suggests AI agents will need to buy licenses, just like employees",technology,21,8,maxloh,2026-04-14 16:11:15,0.36363636363636365,False
47762994,Ransomware Is Growing Three Times Faster Than the Spending Meant to Stop It,worldnews,52,40,adulion,2026-04-14 16:11:24,0.7547169811320755,False
47763185,An open letter to the UK Government on digital privacy,worldnews,11,2,vsajip,2026-04-14 16:11:51,0.16666666666666666,False
47762272,"Linux 7.0 Released with New Hardware Support, Optimizations and Self-Healing XFS",worldnews,21,0,isaacfrond,2026-04-14 16:12:34,0.0,False
47722333,"Chimpanzees in Uganda locked in eight-year 'civil war', say researchers",worldnews,438,276,neversaydie,2026-04-14 16:12:41,0.6287015945330297,True
47755938,Warp,worldnews,6,1,Resayours,2026-04-14 16:13:00,0.14285714285714285,False
47721946,JSON formatter Chrome plugin now closed and injecting adware,worldnews,287,136,jkl5xx,2026-04-14 16:13:22,0.4722222222222222,True
47745261,Vegetative Patients May Be More Aware Than We Knew,worldnews,35,13,bookofjoe,2026-04-14 16:14:08,0.3611111111111111,False
47745230,Sam Altman's home targeted in second attack,worldnews,152,358,babelfish,2026-04-14 16:14:13,2.3398692810457518,True
47692043,Muse Spark: Scaling towards personal superintelligence,worldnews,392,367,chabons,2026-04-14 16:14:24,0.9338422391857506,True
47761215,Pepsi was warned $7 for Doritos was too much. Now they are paying the price,worldnews,8,0,matthest,2026-04-14 16:14:52,0.0,False
47729994,Polymarket gamblers betting millions on war,worldnews,159,129,sandebert,2026-04-14 16:14:53,0.80625,True
47693960,Flashback to a time when government reports were works of art,worldnews,30,12,NaOH,2026-04-14 16:14:55,0.3870967741935484,False
47722566,DOJ wants to scrap Watergate-era rule that makes presidential records public,worldnews,261,69,tlhunter,2026-04-14 16:15:09,0.2633587786259542,True
47758029,He Warned About the Dangers of A.I. If Only His Father Had Listened,worldnews,8,1,ceejayoz,2026-04-14 16:15:10,0.1111111111111111,False
